Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2023-11-15 15:53:12,false,"Treadmill Running","5.38","389","00:26:33","171","188","4.1","161","176","4:56","4:11","--","--","1.26","8.2","10.3","267","--","355","0.0","353","443","22.0","No","00:01:44.9","6","29.0","00:26:31","00:26:33","--","--"
Treadmill Running,2023-11-11 10:36:34,false,"Treadmill Running","6.53","388","00:34:24","145","178","3.1","151","218","5:16","3:17","--","--","1.25","8.1","10.1","301","--","341","0.0","326","540","21.0","No","00:02:41.8","7","28.0","00:34:22","00:34:24","--","--"
Treadmill Running,2023-11-08 16:06:26,false,"Treadmill Running","7.05","442","00:35:12","152","173","3.4","157","180","4:59","3:04","--","--","1.28","8.1","10.3","274","--","358","0.0","349","550","24.0","No","00:00:13.1","8","30.0","00:34:55","00:35:37","--","--"
Treadmill Running,2023-11-03 12:20:56,false,"Treadmill Running","6.04","468","00:30:57","176","191","4.6","159","170","5:08","3:41","--","--","1.44","7.7","11.1","259","--","401","0.0","397","508","23.0","No","00:00:10.7","8","30.0","00:30:50","00:30:57","--","--"
Treadmill Running,2023-09-30 11:28:39,false,"Treadmill Running","5.58","319","00:26:07","150","189","3.0","150","250","4:41","2:35","--","--","1.44","7.1","10.1","277","--","401","0.0","359","615","23.0","No","00:02:29.7","6","30.0","00:25:02","00:26:07","--","--"
Running,2023-09-24 10:03:21,false,"Paris Running","16.17","1,196","01:29:15","163","194","5.0","159","188","5:31","2:51","225","125","1.11","8.2","9.1","278","5:22","348","0.0","334","659","--","No","00:01:01.4","17","--","01:29:13","01:29:15","26","174"
Treadmill Running,2023-09-17 09:53:33,false,"Treadmill Running","7.01","412","00:38:03","145","190","3.4","159","179","5:26","4:27","--","--","1.15","8.4","9.5","268","--","334","0.0","314","403","23.0","No","00:04:54.1","7","28.0","00:37:57","00:38:03","--","--"
Treadmill Running,2023-09-09 09:02:49,false,"Treadmill Running","16.20","1,050","01:25:13","163","182","5.0","161","240","5:16","3:14","--","--","1.30","7.8","10.0","266","--","375","0.0","359","530","25.0","No","00:04:20.4","18","30.0","01:24:54","01:25:13","--","--"
Treadmill Running,2023-09-05 07:29:34,false,"Treadmill Running","5.29","294","00:25:36","143","167","2.7","160","178","4:50","4:18","--","--","1.29","8.1","10.5","267","--","362","0.0","358","416","21.0","No","00:01:41.6","6","29.0","00:25:35","00:25:59","--","--"
Treadmill Running,2023-09-02 10:08:05,false,"Treadmill Running","12.63","757","01:04:54","155","181","4.1","157","233","5:08","4:18","--","--","1.23","8.1","9.9","282","--","351","0.0","334","424","22.0","No","00:03:19.4","13","29.0","01:04:39","01:04:54","--","--"
Treadmill Running,2023-08-19 08:31:36,false,"Treadmill Running","15.03","859","01:19:34","152","182","3.8","155","240","5:17","3:26","--","--","1.21","7.9","9.6","282","--","344","0.0","319","504","23.0","No","00:00:08.5","16","29.0","01:19:19","01:37:53","--","--"
Treadmill Running,2023-08-17 07:22:17,false,"Treadmill Running","5.02","315","00:26:29","149","175","3.1","156","195","5:16","3:34","--","--","1.45","7.5","10.8","268","--","412","0.0","392","500","23.0","No","00:00:09.7","7","29.0","00:26:22","00:26:33","--","--"
Treadmill Running,2023-08-12 11:44:01,false,"Treadmill Running","10.00","594","00:51:36","150","173","3.5","158","240","5:10","3:25","--","--","1.27","8.0","10.1","272","--","356","0.0","342","518","24.0","No","00:01:54.3","11","29.0","00:51:02","00:54:38","--","--"
Treadmill Running,2023-07-31 07:38:21,false,"ריצה בהליכון","5.87","376","00:28:45","158","173","3.5","157","173","4:54","4:25","--","--","1.32","8.2","10.8","273","--","359","0.0","355","394","24.0","No","00:04:11.3","6","29.0","00:28:35","00:28:45","--","--"
